,A05,A07,B03,C02,C05,Internal,External,All
A05+A07+B03+C02,0.7885034767040585,0.7676285970753822,0.8375284849520808,0.8226676537464603,0.7596682906549144,0.8040820531194954,0.7596682906549144,0.7951993006265792
A05+A07+B03+C05,0.7881662269504338,0.7598775068274977,0.8373934627260011,0.7772936689817925,0.7955606811836365,0.7952494694218923,0.7772936689817925,0.7916583093338724
A05+A07+C02+C05,0.7901604878472943,0.7632954448946389,0.8173636782442145,0.8192067784071302,0.7950866224239128,0.791937333393244,0.8173636782442145,0.7970226023634381
A05+B03+C02+C05,0.7913990063814976,0.7447326107795058,0.8375881505631422,0.8180026943214326,0.7947480365585521,0.8104344719561561,0.7447326107795058,0.797294099720826
A07+B03+C02+C05,0.7727319224966197,0.7663437783606313,0.8345138697673202,0.8194222070222495,0.7955888936608372,0.8039671872027596,0.7727319224966197,0.7977201342615315
