index,Model,Ndomains,C02,A07,A05,B03,C05,Internal,External,diff(int-ext),All,Nlayers,Nnodes
A05+B03+C02+C05,ERM 20 layers 128 nodes,4,0.8190053638453267,0.7278867433245525,0.7823978886366562,0.8389129696949483,0.7947794340822818,0.8087739140648033,0.7278867433245525,0.08088717074025081,0.7925964799167532,20.0,128.0
A05+B03+C02+C05,ERM 20 layers 32 nodes,4,0.8170674883089939,0.7291209542006392,0.7809499963581634,0.8389732445641946,0.7914845010383685,0.8071188075674302,0.7291209542006392,0.077997853366791,0.7915192368940719,20.0,32.0
A05+B03+C02+C05,ERM 20 layers 64 nodes,4,0.8190622242565387,0.7308790134280151,0.7838193837267449,0.8402655910875098,0.7912156356487947,0.808590708679897,0.7308790134280151,0.07771169525188192,0.7930483696295206,20.0,64.0
A05+B03+C02+C05,ERM 5 layers 128 nodes,4,0.8207439894383152,0.7287795621794523,0.7835318452877231,0.8406107600112112,0.793925392284738,0.8097029967554968,0.7287795621794523,0.08092343457604459,0.7935183098402879,5.0,128.0
A05+B03+C02+C05,ERM 5 layers 32 nodes,4,0.8188408722155291,0.7311268827269927,0.7818185106662678,0.8397014435913146,0.7919761859708674,0.8080842531109947,0.7311268827269927,0.07695737038400213,0.7926927790341944,5.0,32.0
A05+B03+C02+C05,ERM 5 layers 64 nodes,4,0.8208009708236295,0.7311222517203466,0.7838189965058955,0.8401482165032597,0.7938964281172824,0.8096661529875169,0.7311222517203466,0.07854390126717022,0.7939573727340827,5.0,64.0
A07+B03+C02+C05,ERM 10 layers 128 nodes,4,0.8228037509032159,0.761519213917089,0.7604343863093608,0.8401868091718088,0.7942157483059623,0.804681380574519,0.7604343863093608,0.0442469942651582,0.7958319817214874,10.0,128.0
A07+B03+C02+C05,ERM 10 layers 32 nodes,4,0.8205428232824088,0.7570166282082385,0.7591512589530117,0.8394007590428412,0.7898528922896769,0.8017032757057914,0.7591512589530117,0.04255201675277962,0.7931928723552354,10.0,32.0
A07+B03+C02+C05,ERM 10 layers 64 nodes,4,0.8225194161281812,0.759792149301217,0.761339970886874,0.8409136646093385,0.7936606551684078,0.8042214713017861,0.761339970886874,0.04288150041491214,0.7956451712188037,10.0,64.0
A07+B03+C02+C05,ERM 20 layers 128 nodes,4,0.8221913619152517,0.7611288135825597,0.7612438420856519,0.8400536270381013,0.7939174742397918,0.8043228191939262,0.7612438420856519,0.04307897710827422,0.7957070237722712,20.0,128.0
A07+B03+C02+C05,ERM 20 layers 32 nodes,4,0.819125821332358,0.7587354381309318,0.7576673330786499,0.8388418162981397,0.7918215317240512,0.8021311518713702,0.7576673330786499,0.044463818792720336,0.7932383881128261,20.0,32.0
A07+B03+C02+C05,ERM 20 layers 64 nodes,4,0.8212449363082113,0.7582243897906107,0.7616558328154868,0.839424018871654,0.7929820595628757,0.8029688511333379,0.7616558328154868,0.041313018317851224,0.7947062474697677,20.0,64.0
A07+B03+C02+C05,ERM 5 layers 128 nodes,4,0.8202941909355352,0.758122983693601,0.764143675306201,0.8405281368316186,0.7949197110483385,0.8034662556272734,0.764143675306201,0.03932258032107237,0.7956017395630589,5.0,128.0
A07+B03+C02+C05,ERM 5 layers 32 nodes,4,0.8211979268913462,0.7577218798687932,0.7618308713439612,0.8389601270364905,0.7907765196442442,0.8021641133602186,0.7618308713439612,0.04033324201625736,0.7940974649569671,5.0,32.0
A07+B03+C02+C05,ERM 5 layers 64 nodes,4,0.8222907419251294,0.7604118263570544,0.7614275146587599,0.8398485287504484,0.793082783647788,0.803908470170105,0.7614275146587599,0.0424809555113451,0.795412279067836,5.0,64.0
