                ,C02                ,B03                ,C05                ,A05                ,A07                ,Internal           ,External           ,All
A05+B03+C02+C05 ,0.8182838407185224 ,0.835810121038661  ,0.7943308002817296 ,0.7899283268912528 ,0.7338875434680526 ,0.8095882722325415 ,0.7338875434680526 ,0.7944481264796437
A07+B03+C02+C05 ,0.822906157848731  ,0.8368073336114003 ,0.7947833081782115 ,0.7700024811543533 ,0.7594609447329724 ,0.8034894360928289 ,0.7700024811543533 ,0.7967920451051338
A05+A07+B03+C02 ,0.8244055651186804 ,0.8371010093219344 ,0.7524672064284551 ,0.7880603784157414 ,0.7653470646234888 ,0.8037285043699613 ,0.7524672064284551 ,0.7934762447816601
A05+A07+C02+C05 ,0.8213447309019347 ,0.8149499546041064 ,0.7941845097936326 ,0.7914031236664776 ,0.7560633625297483 ,0.7907489317229482 ,0.8149499546041064 ,0.7955891362991798
A05+A07+B03+C05 ,0.7562960261255843 ,0.8375470469549504 ,0.792214900630644  ,0.7892777468491251 ,0.7505868353734264 ,0.7924066324520365 ,0.7562960261255843 ,0.785184511186746
