,C02,B03,C05,A05,A07,Internal,External,All
A05+B03+C02+C05,0.8189719637997267,0.837279342888043,0.7943936338774077,0.7907440149626057,0.7447163489387338,0.8103472388819457,0.7447163489387338,0.7972210608933034
A07+B03+C02+C05,0.8210959418483949,0.8350104862524633,0.7950379552984261,0.7702957886938766,0.7669821603417499,0.8045316359352586,0.7702957886938766,0.7976844664869821
A05+A07+B03+C02,0.8246703907747647,0.8379651515688447,0.7543670071775337,0.788508819371473,0.7657900569697602,0.8042336046712106,0.7543670071775337,0.7942602851724754
A05+A07+C02+C05,0.8198091519448502,0.8168044303966583,0.7950407861832007,0.7892401276083858,0.7628949161372682,0.7917462454684263,0.8168044303966583,0.7967578824540726
A05+A07+B03+C05,0.7799831428400208,0.8368254597530487,0.7954113068380828,0.7885249944196084,0.7602285835936687,0.7952475861511021,0.7799831428400208,0.7921946974888858
