index,Model,Ndomains,C02,A07,A05,B03,C05,Internal,External,diff(int-ext),All,Nlayers,Nnodes
A05+A07,ERM 10 layers 128 nodes,2,0.7360161325208006,0.7564859723533474,0.7850708619055755,0.8117107012836492,0.7491912547681134,0.7707784171294614,0.7656393628575211,0.005139054271940347,0.7676949845662973,10.0,128.0
A05+A07,ERM 10 layers 32 nodes,2,0.7174449025387858,0.7566981988964037,0.784592166257536,0.8076439000558849,0.7472361915343391,0.7706451825769698,0.7574416647096699,0.013203517867299919,0.7627230718565899,10.0,32.0
A05+A07,ERM 10 layers 64 nodes,2,0.7207438994611357,0.7590531876445047,0.7845164694830269,0.8090374156537473,0.7501272404405117,0.7717848285637657,0.7599695185184648,0.011815310045300908,0.7646956425365852,10.0,64.0
A05+A07,ERM 20 layers 128 nodes,2,0.7393862032351144,0.7548871534885457,0.7819168304512829,0.8125946818487868,0.746645491889479,0.7684019919699143,0.76620879232446,0.0021931996454541912,0.7670860721826418,20.0,128.0
A05+A07,ERM 20 layers 32 nodes,2,0.7149412272508415,0.757461448583449,0.7842924818278235,0.8057067991886917,0.7473999973690841,0.7708769652056363,0.7560160079362058,0.01486095726943044,0.761960390843978,20.0,32.0
A05+A07,ERM 20 layers 64 nodes,2,0.7244097376489316,0.7565906479562827,0.7827620061255398,0.8081779996585123,0.7435740626193639,0.7696763270409112,0.7587205999756026,0.010955727065308651,0.763102890801726,20.0,64.0
A05+A07,ERM 5 layers 128 nodes,2,0.7308486105112633,0.7538740769882004,0.7830660186060109,0.8096131087346778,0.7463643946684152,0.7684700477971056,0.7622753713047854,0.006194676492320217,0.7647532419017136,5.0,128.0
A05+A07,ERM 5 layers 32 nodes,2,0.722320223012529,0.7577155122346549,0.7845889263463792,0.8080504789830562,0.7493122443741165,0.771152219290517,0.7598943154565673,0.011257903833949845,0.7643974769901472,5.0,32.0
A05+A07,ERM 5 layers 64 nodes,2,0.7299218111226603,0.7563764924618561,0.7851843151636567,0.8093078817542618,0.7503583912170969,0.7707804038127564,0.7631960280313397,0.007584375781416697,0.7662297783439064,5.0,64.0
A05+A07+B03,ERM 10 layers 128 nodes,3,0.7727008028030862,0.7600685986901411,0.7863058292814837,0.8430061888503289,0.7384361428768507,0.7964602056073179,0.7555684728399684,0.04089173276734952,0.7801035125003781,10.0,128.0
A05+A07+B03,ERM 10 layers 32 nodes,3,0.7730781778562115,0.7582487311384545,0.7845487705640004,0.8432218075013231,0.7436055372395303,0.7953397697345927,0.7583418575478709,0.03699791218672184,0.780540604859904,10.0,32.0
A05+A07+B03,ERM 10 layers 64 nodes,3,0.7725813794078487,0.7593730222535865,0.7864561616493138,0.8428569253326141,0.7447809049377329,0.7962287030785048,0.7586811421727907,0.037547560905714115,0.7812096787162192,10.0,64.0
A05+A07+B03,ERM 20 layers 128 nodes,3,0.7707061030186181,0.7586913426453635,0.7845755108594862,0.8420890960977345,0.7414085911642955,0.795118649867528,0.7560573470914568,0.03906130277607126,0.7794941287570996,20.0,128.0
A05+A07+B03,ERM 20 layers 32 nodes,3,0.7671684495924593,0.7569978566360688,0.7856781834970004,0.8418234945874564,0.7426745929512946,0.7948331782401752,0.754921521271877,0.03991165696829824,0.7788685154528558,20.0,32.0
A05+A07+B03,ERM 20 layers 64 nodes,3,0.7722722143754085,0.7581591577204326,0.7874501502171819,0.8424469921690898,0.7416814715917219,0.7960187667022348,0.7569768429835653,0.03904192371866958,0.7804019972147669,20.0,64.0
A05+A07+B03,ERM 5 layers 128 nodes,3,0.7724198966321498,0.759444144004503,0.7858542194867765,0.8421139335546624,0.7391594146626532,0.795804099015314,0.7557896556474015,0.04001444336791243,0.779798321668149,5.0,128.0
A05+A07+B03,ERM 5 layers 32 nodes,3,0.7730207788734615,0.7588520340059083,0.7860789007084377,0.8433314815548268,0.7416499596279692,0.7960874720897243,0.7573353692507154,0.038752102839008915,0.7805866309541207,5.0,32.0
A05+A07+B03,ERM 5 layers 64 nodes,3,0.7740220746309472,0.7593218926649958,0.7854544629751679,0.8423366330554497,0.7431016662515505,0.7957043295652044,0.7585618704412489,0.037142459123955585,0.7808473459156222,5.0,64.0
A05+A07+B03+C02,ERM 10 layers 128 nodes,4,0.8242968115531731,0.7624752368725625,0.7851172083200134,0.8417585607407669,0.7485089729892154,0.803411954371629,0.7485089729892154,0.05490298138241365,0.7924313580951463,10.0,128.0
A05+A07+B03+C02,ERM 10 layers 32 nodes,4,0.8225616864599241,0.7592450183355111,0.7805569794499444,0.8414511525591971,0.750006448394127,0.8009537092011442,0.750006448394127,0.05094726080701715,0.7907642570397407,10.0,32.0
A05+A07+B03+C02,ERM 10 layers 64 nodes,4,0.8250307635850904,0.7632393415439761,0.7814112057988626,0.8426147219897102,0.7512807296156179,0.8030740082294099,0.7512807296156179,0.051793278613791904,0.7927153525066515,10.0,64.0
A05+A07+B03+C02,ERM 20 layers 128 nodes,4,0.8246153979281656,0.7628807298710212,0.7829576580373275,0.8421328755148136,0.7499271583231699,0.8031466653378321,0.7499271583231699,0.05321950701466214,0.7925027639348995,20.0,128.0
A05+A07+B03+C02,ERM 20 layers 32 nodes,4,0.8217466137583631,0.7589368907284276,0.7809919264943073,0.841211322764899,0.7497484198723967,0.8007216884364994,0.7497484198723967,0.0509732685641025,0.7905270347236788,20.0,32.0
A05+A07+B03+C02,ERM 20 layers 64 nodes,4,0.8235538054061389,0.7617594245364899,0.7828515791307372,0.8422802127154363,0.7498628213469817,0.8026112554472006,0.7498628213469817,0.0527484341002189,0.7920615686271568,20.0,64.0
